92.0,1132.0
178.0,1043.0
354.0,922.0
326.0,870.0
194.0,778.0
113.0,450.0
192.0,188.0
222.0,186.0
192.0,94.0
294.0,147.0
407.0,223.0
551.0,137.0
699.0,144.0
745.0,258.0
614.0,751.0
593.0,801.0
762.0,528.0
870.0,321.0
1057.0,384.0
985.0,167.0
1037.0,24.0
1122.0,200.0
1297.0,176.0
1331.0,116.0
1673.0,9.0
1788.0,97.0
1927.0,129.0
1723.0,208.0
1475.0,310.0
1593.0,564.0
1886.0,528.0
1870.0,912.0
1849.0,994.0
1801.0,1004.0
1619.0,921.0
1506.0,1129.0
1258.0,1185.0
1349.0,1330.0
1376.0,1278.0
1811.0,1072.0
1841.0,1153.0
1830.0,1273.0
1837.0,1337.0
1859.0,1347.0
1936.0,1473.0
1872.0,1605.0
1920.0,1654.0
1951.0,1694.0
1788.0,1747.0
1686.0,1867.0
1684.0,1719.0
1652.0,1635.0
1660.0,1350.0
1378.0,1449.0
1307.0,1489.0
1133.0,1486.0
1019.0,1164.0
1100.0,852.0
719.0,1039.0
583.0,1159.0
734.0,1313.0
980.0,1461.0
860.0,1606.0
858.0,1660.0
812.0,1668.0
683.0,1660.0
860.0,1984.0
750.0,1921.0
737.0,1875.0
681.0,1872.0
339.0,1693.0
226.0,1950.0
0.0,1865.0
76.0,1766.0
143.0,1737.0
145.0,1715.0
24.0,1488.0
4.0,1358.0
70.0,1396.0
270.0,1290.0
92.0,1132.0
