425,325
425,325
425,325
1313,813
1515,815
1738,938
3116,2116
3410,2210
3632,2332
4606,3206
5580,4080
5984,4084
6389,4389
6389,4389
8257,5857
9180,6680
10558,7858
10558,7858
11247,8447
11247,8447
11394,8494
11394,8494
11838,8738
11939,8739
11939,8739
11939,8739
12729,9429
13134,9734
14306,10706
15096,11396
16019,12219
16582,12682
17708,13608
18584,14384
18584,14384
18584,14384
19250,14750
19813,15213
19813,15213
20015,15215
20825,15825
21538,16438
21538,16438
21538,16438
22388,17088
22388,17088
24140,18640
24607,19007
24607,19007
25193,19493
25193,19493
25649,19849
