0,0
0,0
713,613
713,613
1157,857
1157,857
1947,1547
1947,1547
2613,1913
2613,1913
3991,3091
4213,3213
4618,3518
4618,3518
5085,3885
5085,3885
5379,3979
5942,4442
6346,4446
6346,4446
6802,4802
7612,5412
7612,5412
7612,5412
8402,6102
9336,6836
9336,6836
11204,8304
12956,9856
13930,10730
13930,10730
14132,10732
14334,10734
15434,11734
15581,11781
17281,13081
18169,13569
19295,14495
20218,15318
20218,15318
20804,15804
20804,15804
20905,15805
20905,15805
22525,17025
23951,18251
23951,18251
23951,18251
24947,19147
25510,19610
25510,19610
25935,19935
